"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 03 17:35:59 IST 2022","Thu Nov 03 17:36:03 IST 2022","3905","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""war zone""",""
"failed","Thu Nov 03 17:44:11 IST 2022","Thu Nov 03 17:44:15 IST 2022","3179","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""tiktok""",""
"passed","Thu Nov 03 17:30:42 IST 2022","Thu Nov 03 17:30:51 IST 2022","8796","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""lights in a tunnel""",""
"passed","Thu Nov 03 17:29:53 IST 2022","Thu Nov 03 17:30:04 IST 2022","10468","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""having fun""",""
"passed","Thu Nov 03 17:31:35 IST 2022","Thu Nov 03 17:31:44 IST 2022","9204","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""muscle""",""
"passed","Thu Nov 03 17:25:36 IST 2022","Thu Nov 03 17:25:46 IST 2022","9472","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""black background""",""
"failed","Thu Nov 03 17:39:18 IST 2022","Thu Nov 03 17:39:26 IST 2022","8037","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""drone""",""
"failed","Thu Nov 03 17:44:29 IST 2022","Thu Nov 03 17:44:32 IST 2022","3373","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""wandering city""",""
"failed","Thu Nov 03 17:40:46 IST 2022","Thu Nov 03 17:40:55 IST 2022","9607","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""having fun""",""
"failed","Thu Nov 03 17:37:52 IST 2022","Thu Nov 03 17:37:52 IST 2022","610","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""big size model""",""
"passed","Thu Nov 03 17:31:44 IST 2022","Thu Nov 03 17:31:56 IST 2022","11507","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""old school""",""
